,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2,2021-08-04,sh.600015,20.3707289700,20.4076994400,20.2598175600,20.2967880300,20.3707289700,12242992,67228512.6600,1,0.095500,1,-0.363000,3.876818,0.374782,0.886179,130.565471,0
3,2021-08-05,sh.600015,20.2598175600,20.4816403800,20.2228470900,20.2967880300,20.2967880300,14693267,80842341.4000,1,0.114600,1,0.000000,3.876818,0.374782,0.886179,130.565471,0
4,2021-08-06,sh.600015,20.2598175600,20.3337585000,20.1489061500,20.2967880300,20.2967880300,10410186,56985370.1600,1,0.081200,1,0.000000,3.876818,0.374782,0.886179,130.565471,0
5,2021-08-09,sh.600015,20.2598175600,20.6664927300,20.2228470900,20.5186108500,20.2967880300,22463022,124655647.5600,1,0.175200,1,1.092900,3.919187,0.378878,0.895864,131.992416,0
6,2021-08-10,sh.600015,20.4816403800,20.6295222600,20.3707289700,20.5555813200,20.5186108500,19179719,106222339.8100,1,0.149600,1,0.180200,3.926249,0.379561,0.897478,132.230240,0
7,2021-08-11,sh.600015,20.5186108500,20.7774041400,20.4076994400,20.6295222600,20.5555813200,19707614,110028551.0500,1,0.153700,1,0.359700,3.940372,0.380926,0.900706,132.705888,0
8,2021-08-12,sh.600015,20.6295222600,20.6295222600,20.5186108500,20.5555813200,20.6295222600,11505641,64030526.1200,1,0.089700,1,-0.358400,3.926249,0.379561,0.897478,132.230240,0
9,2021-08-13,sh.600015,20.5186108500,20.5925517900,20.4816403800,20.5555813200,20.5555813200,10187720,56578693.4800,1,0.079500,1,0.000000,3.926249,0.379561,0.897478,132.230240,0
10,2021-08-16,sh.600015,20.5555813200,20.6664927300,20.4816403800,20.5925517900,20.5555813200,12227209,68139830.5000,1,0.095400,1,0.179900,3.933311,0.380243,0.899092,132.468064,0
11,2021-08-17,sh.600015,20.5925517900,20.7404336700,20.4446699100,20.5555813200,20.5925517900,22481695,125268499.7300,1,0.175300,1,-0.179500,3.926249,0.379561,0.897478,132.230240,0
12,2021-08-18,sh.600015,20.4816403800,20.8513450800,20.4076994400,20.8143746100,20.5555813200,24204313,135405484.6900,1,0.188800,1,1.259000,3.975680,0.384339,0.908777,133.895009,0
13,2021-08-19,sh.600015,20.7774041400,20.8143746100,20.5186108500,20.5925517900,20.8143746100,17621606,98340234.6300,1,0.137400,1,-1.065700,3.933311,0.380243,0.899092,132.468064,0
14,2021-08-20,sh.600015,20.5555813200,20.6664927300,20.4816403800,20.5186108500,20.5925517900,22347344,124212778.5600,1,0.174300,1,-0.359100,3.919187,0.378878,0.895864,131.992416,0
15,2021-08-23,sh.600015,20.5186108500,20.6664927300,20.4816403800,20.5555813200,20.5186108500,16184843,89982584.6500,1,0.126200,1,0.180200,3.926249,0.379561,0.897478,132.230240,0
16,2021-08-24,sh.600015,20.5555813200,20.6295222600,20.4076994400,20.5186108500,20.5555813200,18750061,104093817.6400,1,0.146200,1,-0.179900,3.919187,0.378878,0.895864,131.992416,0
17,2021-08-25,sh.600015,20.5186108500,20.5925517900,20.4446699100,20.4816403800,20.5186108500,14495156,80351669.9000,1,0.113000,1,-0.180200,3.912126,0.378195,0.894249,131.754592,0
18,2021-08-26,sh.600015,20.4816403800,20.4816403800,20.3707289700,20.3707289700,20.4816403800,17760511,98093539.0900,1,0.138500,1,-0.541500,3.890941,0.376147,0.889407,131.041119,0
19,2021-08-27,sh.600015,20.4076994400,20.4816403800,20.3707289700,20.4076994400,20.3707289700,14084217,77748895.2900,1,0.109800,1,0.181500,3.898003,0.376830,0.891021,131.278943,0
20,2021-08-30,sh.600015,20.3707289700,20.4076994400,20.2228470900,20.2598175600,20.4076994400,22046196,120922890.8500,1,0.171900,1,-0.724600,3.869756,0.374099,0.884564,130.327647,0
21,2021-08-31,sh.600015,20.3337585000,20.7034632000,20.2967880300,20.7034632000,20.2598175600,36517930,202673327.3500,1,0.284800,1,2.189800,3.759859,0.383257,0.899077,13.913847,0
0,2021-08-02,sh.600016,87.8800198600,89.4256483500,87.2176076500,88.5424320700,87.8800198600,80083494,320128772.8200,1,0.225800,1,0.753800,5.417747,0.369379,0.982526,9.738601,0
1,2021-08-03,sh.600016,88.3216280000,88.5424320700,87.6592157900,88.1008239300,88.5424320700,56689953,225799562.2600,1,0.159900,1,-0.498800,5.390725,0.367536,0.977625,9.690029,0
2,2021-08-04,sh.600016,88.3216280000,88.3216280000,87.6592157900,87.8800198600,88.1008239300,45808826,182596622.6800,1,0.129200,1,-0.250600,5.377215,0.366615,0.975175,9.665744,0
3,2021-08-05,sh.600016,87.8800198600,88.5424320700,87.6592157900,87.8800198600,87.8800198600,37788289,150732704.7700,1,0.106600,1,0.000000,5.377215,0.366615,0.975175,9.665744,0
4,2021-08-06,sh.600016,87.8800198600,88.1008239300,87.4384117200,87.8800198600,87.8800198600,35091312,139323157.7200,1,0.099000,1,0.000000,5.377215,0.366615,0.975175,9.665744,0
5,2021-08-09,sh.600016,87.8800198600,89.2048442800,87.6592157900,88.9840402100,87.8800198600,72644758,292176338.7900,1,0.204900,1,1.256300,5.444768,0.371221,0.987426,9.787173,0
6,2021-08-10,sh.600016,88.9840402100,89.4256483500,88.3216280000,89.2048442800,88.9840402100,63100735,253473736.0600,1,0.177900,1,0.248100,5.458278,0.372142,0.989876,9.811458,0
7,2021-08-11,sh.600016,88.9840402100,90.0880605600,88.7632361400,89.2048442800,89.2048442800,67376475,272901244.1600,1,0.190000,1,0.000000,5.458278,0.372142,0.989876,9.811458,0
8,2021-08-12,sh.600016,88.9840402100,89.2048442800,88.7632361400,88.7632361400,89.2048442800,37569626,151348618.5200,1,0.105900,1,-0.495000,5.431257,0.370300,0.984976,9.762887,0
9,2021-08-13,sh.600016,88.7632361400,88.7632361400,88.3216280000,88.5424320700,88.7632361400,37793286,151558643.3300,1,0.106600,1,-0.248800,5.417747,0.369379,0.982526,9.738601,0
10,2021-08-16,sh.600016,88.5424320700,89.2048442800,88.5424320700,88.9840402100,88.5424320700,56546199,227352856.5800,1,0.159500,1,0.498800,5.444768,0.371221,0.987426,9.787173,0
11,2021-08-17,sh.600016,88.7632361400,89.2048442800,88.1008239300,88.1008239300,88.9840402100,66833743,268299257.2400,1,0.188500,1,-0.992600,5.390725,0.367536,0.977625,9.690029,0
12,2021-08-18,sh.600016,88.1008239300,89.4256483500,87.8800198600,89.2048442800,88.1008239300,87976690,353933215.5800,1,0.248100,1,1.253100,5.458278,0.372142,0.989876,9.811458,0
